,accuracy,database_address,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
4351,GEOMETRIC_CENTER,FRIENDSHIP ST & PORTLAND ST,"Friendship St, Philadelphia, PA, USA",ChIJz4p9Hju0xokRVKYo9S9mgsU,FRIENDSHIP ST & PORTLAND ST,40.0370172,-75.0474936,1,,OK,route
4352,ROOFTOP,7 PROVIDENCE PL,"7 Providence Pl, Providence, RI 02903, USA",ChIJx5aVaBBF5IkRvTLb-YKRJrE,7 PROVIDENCE PL,41.828897,-71.415913,1,02903,OK,street_address
4353,ROOFTOP,7 PROVIDENCE PL,"7 Providence Pl, Providence, RI 02903, USA",ChIJx5aVaBBF5IkRvTLb-YKRJrE,7 PROVIDENCE PL,41.828897,-71.415913,1,02903,OK,street_address
4354,ROOFTOP,292 KNIGHT ST,"292 Knight St, Providence, RI 02909, USA",ChIJfRX1zHVF5IkR4Y4Q32N0cSk,292 KNIGHT ST,41.8181649,-71.4271378,2,02909,OK,street_address
4355,GEOMETRIC_CENTER,BROAD ST & FRICKER ST,"Broad St, Philadelphia, PA, USA",ChIJW55gNOnFxokRcdhWogLTLc8,BROAD ST & FRICKER ST,39.9135043,-75.1724267,2,,OK,route
4356,GEOMETRIC_CENTER,CRANSTON ST & BELLEVUE AVE,"Cranston St, Rhode Island, USA",ChIJCzWG8BRP5IkRQrqv8PG6aMs,CRANSTON ST & BELLEVUE AVE,41.7909323,-71.4522563,10,,OK,route
4357,GEOMETRIC_CENTER,CRANSTON ST & BELLEVUE AVE,"Cranston St, Rhode Island, USA",ChIJCzWG8BRP5IkRQrqv8PG6aMs,CRANSTON ST & BELLEVUE AVE,41.7909323,-71.4522563,10,,OK,route
4358,ROOFTOP,238 ATWELLS AVE,"238 Atwells Ave, Providence, RI 02903, USA",ChIJ2Y2kFgtF5IkRA3igPnOsRFQ,238 ATWELLS AVE,41.8233999,-71.42590109999999,1,02903,OK,premise
4359,ROOFTOP,342 BROAD ST,"342 Broad St, Michigan Center, MI 49254, USA",ChIJ79VG5EgmPYgR_aupnlufoS0,342 BROAD ST,42.230514,-84.320451,2,49254,OK,street_address
4360,ROOFTOP,342 BROAD ST,"342 Broad St, Michigan Center, MI 49254, USA",ChIJ79VG5EgmPYgR_aupnlufoS0,342 BROAD ST,42.230514,-84.320451,2,49254,OK,street_address
4361,ROOFTOP,25 TOBEY ST,"25 Tobey St, Providence, RI 02909, USA",ChIJD36XS5lF5IkR5utnNaBFyCE,25 TOBEY ST,41.8197978,-71.436092,1,02909,OK,premise
4362,ROOFTOP,101 CEDAR ST,"101 Cedar St, Milford, MA 01757, USA",ChIJfyk1iLNz5IkRwTeC-2OAl6o,101 CEDAR ST,42.1644041,-71.5072943,2,01757,OK,premise
4363,GEOMETRIC_CENTER,135 BROADWAY,"Broadway & W 135th St, New York, NY 10031, USA",Ei5Ccm9hZHdheSAmIFcgMTM1dGggU3QsIE5ldyBZb3JrLCBOWSAxMDAzMSwgVVNBImYiZAoUChIJ9dmGn2j2wokRb8UCh7wtPsgSFAoSCfXZhp9o9sKJEW_FAoe8LT7IGhQKEgk5IyONWVbCiRGelpM_JoWL2hoUChIJudDy1W_2wokRJggLIH9vN6UiCg2zqVQYFUhV69M,135 BROADWAY,40.8201651,-73.95519279999999,1,10031,OK,intersection
4364,ROOFTOP,1 DORRANCE PLZ,"1 Dorrance St, Providence, RI 02903, USA",ChIJSW5R-RRF5IkRLpGBKSLutag,1 DORRANCE PLZ,41.8214075,-71.40948100000001,1,02903,OK,premise
4365,GEOMETRIC_CENTER,BROAD ST & PORTLAND ST,"Broad St, Philadelphia, PA, USA",ChIJW55gNOnFxokRcdhWogLTLc8,BROAD ST & PORTLAND ST,39.9135043,-75.1724267,2,,OK,route
4366,ROOFTOP,1455 WESTMINSTER ST,"1455 Westminster St, Providence, RI 02909, USA",ChIJB695UJxF5IkRJQbaa9NuViI,1455 WESTMINSTER ST,41.8164866,-71.43362379999999,2,02909,OK,premise
4367,ROOFTOP,1455 WESTMINSTER ST,"1455 Westminster St, Providence, RI 02909, USA",ChIJB695UJxF5IkRJQbaa9NuViI,1455 WESTMINSTER ST,41.8164866,-71.43362379999999,2,02909,OK,premise
4368,ROOFTOP,1688 WESTMINSTER ST,"1688 Westminster St, Providence, RI 02909, USA",ChIJhyZAFptF5IkRmqaLSh83bVk,1688 WESTMINSTER ST,41.8156013,-71.43762770000001,2,02909,OK,premise
4369,ROOFTOP,CEDAR ST & BRADFORD ST,"1020 W Lawrence Ave #300, Chicago, IL 60640, USA",ChIJSWJlCM3TD4gRPznOOS4jXxk,CEDAR ST & BRADFORD ST,41.9633973,-87.6558378,1,60640,OK,"establishment,point_of_interest"
4370,ROOFTOP,797 WESTMINSTER ST,"797 Westminster St, Providence, RI 02903, USA",ChIJocvgs3NF5IkRnMQ2obqsJIs,797 WESTMINSTER ST,41.8178953,-71.42137629999999,2,02903,OK,premise
4371,ROOFTOP,797 WESTMINSTER ST,"797 Westminster St, Providence, RI 02903, USA",ChIJocvgs3NF5IkRnMQ2obqsJIs,797 WESTMINSTER ST,41.8178953,-71.42137629999999,2,02903,OK,premise
4372,ROOFTOP,65 WOOD ST,"65 Wood St, Canandaigua, NY 14424, USA",ChIJcdmFjHwm0YkRfSKvkude2wo,65 WOOD ST,42.8920709,-77.27752319999999,1,14424,OK,street_address
4373,ROOFTOP,344 WASHINGTON ST,"344 Washington St, Brighton, MA 02135, USA",ChIJmXg42kl444kR2A3uMezByBU,344 WASHINGTON ST,42.3488518,-71.1529264,1,02135,OK,"establishment,food,point_of_interest,restaurant"
4374,ROOFTOP,797 WESTMINSTER ST,"797 Westminster St, Providence, RI 02903, USA",ChIJocvgs3NF5IkRnMQ2obqsJIs,797 WESTMINSTER ST,41.8178953,-71.42137629999999,2,02903,OK,premise
4375,ROOFTOP,80 DEAN ST,"80 Dean St, Pawtucket, RI 02861, USA",ChIJXRMM7aBc5IkRXZ6Zx9lwJK0,80 DEAN ST,41.870285,-71.3625074,3,02861,OK,street_address
4376,GEOMETRIC_CENTER,BRIGHAM ST/WESTMINSTER ST,"Bridgham St & Westminster St, Providence, RI 02909, USA",EjdCcmlkZ2hhbSBTdCAmIFdlc3RtaW5zdGVyIFN0LCBQcm92aWRlbmNlLCBSSSAwMjkwOSwgVVNBImYiZAoUChIJPdNZbXZF5IkR1gWRcFv2AwISFAoSCT3TWW12ReSJEdYFkXBb9gMCGhQKEgnjuVPCdkXkiRG9HmlHCReh2xoUChIJ_XsS5nRF5IkRxYY05f6G7AAiCg0owuwYFfrjbNU,BRIGHAM ST/WESTMINSTER ST,41.8169384,-71.4284038,1,02909,OK,intersection
4377,ROOFTOP,199 CANAL ST,"199 Canal St, New York, NY 10013, USA",ChIJM_HoeidawokRZiHdAg9udxs,199 CANAL ST,40.7172223,-73.9983197,3,10013,OK,premise
4378,ROOFTOP,850 MANTON AVE,"850 Manton Ave, Providence, RI 02909, USA",ChIJKQFxq9xF5IkRkXDRcONIVZA,850 MANTON AVE,41.8328614,-71.4665952,1,02909,OK,street_address
4379,GEOMETRIC_CENTER,TOURO ST & SILVER SPRING ST,"Touro St, New Orleans, LA, USA",ChIJ_29Cf7uoIIYRey977nMfhts,TOURO ST & SILVER SPRING ST,29.9886576,-90.0608902,4,,OK,route
4380,ROOFTOP,408 DOUGLAS AVE,"408 Douglas Ave, Maryville, TN 37804, USA",ChIJOejzuiUgXIgRxJAcmx1VZkU,408 DOUGLAS AVE,35.7934569,-83.93922099999999,1,37804,OK,street_address
4381,ROOFTOP,408 DOUGLAS AVE,"408 Douglas Ave, Maryville, TN 37804, USA",ChIJOejzuiUgXIgRxJAcmx1VZkU,408 DOUGLAS AVE,35.7934569,-83.93922099999999,1,37804,OK,street_address
4382,ROOFTOP,ACADEMY/WEALTH,"5540 N Academy Blvd, Colorado Springs, CO 80918, USA",ChIJl22khBxPE4cR8-1XegO7kE0,ACADEMY/WEALTH,38.907126,-104.784861,1,80918,OK,"establishment,finance,point_of_interest"
4383,ROOFTOP,ACADEMY/WEALTH,"5540 N Academy Blvd, Colorado Springs, CO 80918, USA",ChIJl22khBxPE4cR8-1XegO7kE0,ACADEMY/WEALTH,38.907126,-104.784861,1,80918,OK,"establishment,finance,point_of_interest"
4384,RANGE_INTERPOLATED,69 ROANOKE ST,"69 Roanoke St, Christiansburg, VA 24073, USA",Eiw2OSBSb2Fub2tlIFN0LCBDaHJpc3RpYW5zYnVyZywgVkEgMjQwNzMsIFVTQSIaEhgKFAoSCVdi0sOok02IEf7SG2SCyWIjEEU,69 ROANOKE ST,37.1303293,-80.4060459,3,24073,OK,street_address
4385,ROOFTOP,205 MT PLEA,"205 Mt Pleasant Ave, Woodland Park, NJ 07424, USA",ChIJq8lTVQz-wokR2W0ahNh4keM,205 MT PLEA,40.89640199999999,-74.1974109,2,07424,OK,premise
